Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
conference,confof-edas,MatcherHTTPCall,ALL,0.4482758620689655,0.6842105263157895,0.3333333333333333,0.5416666666666666,13,16,6,29,3573978958,00:00:03
conference,confof-edas,MatcherHTTPCall,CLASSES,0.7142857142857143,0.7142857142857143,0.2,0.7142857142857143,10,4,4,14,-,-
conference,confof-edas,MatcherHTTPCall,PROPERTIES,0.2,0.6,0.5,0.3,3,12,2,15,-,-
conference,confof-edas,MatcherHTTPCall,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,confof-iasted,MatcherHTTPCall,ALL,0.2692307692307692,0.7777777777777778,0.6,0.39999999999999997,7,19,2,26,4537311118,00:00:04
conference,confof-iasted,MatcherHTTPCall,CLASSES,0.30434782608695654,0.7777777777777778,0.6,0.43750000000000006,7,16,2,23,-,-
conference,confof-iasted,MatcherHTTPCall,PROPERTIES,0.0,0.0,0.0,0.0,0,3,0,3,-,-
conference,confof-iasted,MatcherHTTPCall,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,ekaw-iasted,MatcherHTTPCall,ALL,0.11392405063291139,0.9,0.75,0.20224719101123595,9,70,1,79,6154442782,00:00:06
conference,ekaw-iasted,MatcherHTTPCall,CLASSES,0.1232876712328767,0.9,0.75,0.21686746987951808,9,64,1,73,-,-
conference,ekaw-iasted,MatcherHTTPCall,PROPERTIES,0.0,0.0,0.0,0.0,0,6,0,6,-,-
conference,ekaw-iasted,MatcherHTTPCall,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,edas-ekaw,MatcherHTTPCall,ALL,0.16666666666666666,0.5652173913043478,0.2857142857142857,0.25742574257425743,13,65,10,78,5488335386,00:00:05
conference,edas-ekaw,MatcherHTTPCall,CLASSES,0.16901408450704225,0.631578947368421,0.3,0.26666666666666666,12,59,7,71,-,-
